forget_cluster,eval_cluster,split,sample_index,layer,log_ppl_ratio
triplet_001,triplet_051,test,9,L3_spillover,0.11509695218655673
triplet_001,triplet_051,test,10,L3_spillover,0.028903746182348995
triplet_001,triplet_051,test,11,L3_spillover,0.11472826566142645
triplet_001,triplet_051,test,12,L3_spillover,0.007986571198587786
triplet_001,triplet_051,test,13,L3_spillover,0.08855339734144503
triplet_001,triplet_051,test,14,L3_spillover,0.07068550891999559
triplet_001,triplet_051,test,15,L3_spillover,0.015686596167699473
triplet_001,triplet_051,test,16,L3_spillover,0.05594299709029496
triplet_001,triplet_051,test,17,L3_spillover,0.04131505918659105
triplet_001,triplet_051,test,18,L3_spillover,0.01242251999855711
triplet_001,triplet_051,test,19,L3_spillover,0.0675581510112913
triplet_001,triplet_051,test,20,L3_spillover,0.05210142547308829
triplet_001,triplet_051,test,21,L3_spillover,0.02966208797227694
triplet_001,triplet_051,test,22,L3_spillover,0.08181030455614428
triplet_001,triplet_051,test,23,L3_spillover,0.04450249437715065
triplet_001,triplet_051,test,24,L3_spillover,0.12127943911162282
triplet_001,triplet_051,test,25,L3_spillover,0.009307804254485227
triplet_001,triplet_051,test,26,L3_spillover,0.06204839913414038
triplet_001,triplet_051,test,27,L3_spillover,0.13881818184867245
triplet_001,triplet_051,test,28,L3_spillover,0.06809761627944008
triplet_001,triplet_051,test,29,L3_spillover,0.06637506894487259
triplet_001,triplet_051,test,30,L3_spillover,0.04083936301900932
triplet_001,triplet_051,test,31,L3_spillover,0.06396888284247543
triplet_001,triplet_051,test,32,L3_spillover,0.09151335420508346
triplet_001,triplet_051,test,33,L3_spillover,0.06181319338493112
triplet_001,triplet_051,test,34,L3_spillover,0.13366579219464636
triplet_001,triplet_051,test,35,L3_spillover,0.040302379024022325
triplet_001,triplet_051,test,36,L3_spillover,0.037000956414968304
triplet_001,triplet_051,test,37,L3_spillover,0.11395551357658705
triplet_001,triplet_051,test,38,L3_spillover,0.09119315795591826
triplet_001,triplet_051,test,39,L3_spillover,0.021046591984368406
triplet_001,triplet_051,test,40,L3_spillover,0.010176681662147316
triplet_001,triplet_051,test,41,L3_spillover,0.014334458949087348
triplet_001,triplet_051,test,42,L3_spillover,0.019177124639738637
triplet_001,triplet_051,test,43,L3_spillover,0.05449853462611051
triplet_001,triplet_051,test,44,L3_spillover,0.11778303565638346
triplet_001,triplet_051,test,45,L3_spillover,0.0
triplet_001,triplet_051,test,46,L3_spillover,0.04144239441607421
triplet_001,triplet_051,test,47,L3_spillover,0.042081945434313414
triplet_001,triplet_051,test,48,L3_spillover,0.013000812177251454
